SRC,MULT,CH1,CH2,VBAT,VPOW,IBAT
1.465, 2.928, 7.997, 7.997, 8.005, 8.006, 1524.700
1.470, 2.938, 7.997, 7.997, 8.005, 8.006, 1523.700
1.475, 2.949, 7.997, 7.997, 8.005, 8.006, 1523.500
1.480, 2.958, 7.997, 7.997, 8.005, 8.006, 1522.300
1.485, 2.969, 7.997, 7.997, 8.005, 8.006, 1521.900
1.490, 2.978, 7.997, 7.997, 8.005, 8.006, 1522.600
1.495, 2.988, 7.997, 7.997, 8.005, 8.006, 1519.200
1.500, 2.997, 7.997, 7.997, 8.005, 8.006, 1519.400
1.505, 3.007, 7.997, 7.997, 8.005, 8.006, 1518.400
1.510, 3.018, 7.997, 7.997, 8.005, 8.006, 1517.700
1.515, 3.028, 7.997, 7.997, 8.005, 8.006, 1518.000
1.520, 3.038, 7.997, 7.997, 8.005, 8.006, 1516.500
1.525, 3.047, 7.997, 7.997, 8.005, 8.006, 1516.400
1.530, 3.058, 7.997, 7.997, 8.005, 8.006, 1516.100
1.535, 3.068, 7.997, 7.997, 8.005, 8.006, 1516.200
1.540, 3.078, 7.997, 7.997, 8.005, 8.006, 1515.600
1.545, 3.087, 7.997, 7.997, 8.005, 8.006, 1515.000
1.550, 3.097, 7.997, 7.997, 8.005, 8.006, 1514.700
1.555, 3.108, 7.997, 7.997, 8.005, 8.006, 1515.000
1.560, 3.118, 7.997, 7.997, 8.005, 8.006, 1514.200
1.565, 3.128, 7.997, 7.997, 8.005, 8.006, 1513.900
1.570, 3.137, 7.997, 7.997, 8.005, 8.006, 1513.900
1.575, 3.147, 7.997, 7.997, 8.005, 8.006, 1513.400
1.580, 3.158, 7.997, 7.997, 8.005, 8.006, 1513.400
1.585, 3.168, 7.997, 7.997, 8.005, 8.006, 1512.800
1.590, 3.177, 7.997, 7.997, 8.005, 8.006, 1512.100
1.595, 3.187, 7.997, 7.997, 8.005, 8.006, 1511.900
1.600, 3.197, 7.997, 7.997, 8.005, 8.006, 1511.200
1.605, 3.208, 7.997, 7.997, 8.005, 8.006, 1511.000
1.610, 3.218, 7.997, 7.997, 8.005, 8.006, 1511.100
1.615, 3.227, 7.997, 7.997, 8.005, 8.006, 1509.800
1.620, 3.238, 7.997, 7.997, 8.005, 8.006, 1509.700
1.625, 3.248, 7.997, 7.997, 8.005, 8.006, 1509.900
1.630, 3.258, 7.997, 7.997, 8.005, 8.006, 1507.800
1.635, 3.268, 7.997, 7.997, 8.005, 8.006, 1508.500
1.640, 3.277, 7.997, 7.997, 8.005, 8.006, 1506.400
1.645, 3.288, 7.997, 7.997, 8.005, 8.006, 1505.900
1.650, 3.298, 7.997, 7.997, 8.005, 8.006, 1505.600
1.655, 3.309, 7.997, 7.997, 8.005, 8.006, 1504.200
1.660, 3.318, 7.997, 7.997, 8.005, 8.006, 1504.300
1.665, 3.328, 7.997, 7.997, 8.005, 8.006, 1504.000
1.670, 3.338, 7.997, 7.997, 8.005, 8.006, 1503.400
1.675, 3.348, 7.997, 7.997, 8.005, 8.006, 1502.700
1.680, 3.358, 7.997, 7.997, 8.005, 8.006, 1502.400
1.685, 3.368, 7.997, 7.997, 8.005, 8.006, 1502.800
1.690, 3.378, 7.997, 7.997, 8.005, 8.006, 1502.400
1.695, 3.388, 7.997, 7.997, 8.005, 8.006, 1501.600
1.700, 3.399, 7.997, 7.997, 8.005, 8.006, 1501.500
1.705, 3.408, 7.997, 7.997, 8.005, 8.006, 1501.300
1.710, 3.419, 7.997, 7.997, 8.005, 8.006, 1501.000
1.715, 3.428, 7.997, 7.997, 8.005, 8.006, 1499.900
1.720, 3.439, 7.997, 7.997, 8.005, 8.006, 1499.700
1.725, 3.448, 7.997, 7.997, 8.005, 8.006, 1499.600
1.730, 3.459, 7.997, 7.997, 8.005, 8.006, 1499.400
1.735, 3.469, 7.997, 7.997, 8.005, 8.006, 1499.600
1.740, 3.479, 7.997, 7.997, 8.005, 8.006, 1498.600
1.745, 3.488, 7.997, 7.997, 8.005, 8.006, 1498.300
1.750, 3.498, 7.997, 7.997, 8.005, 8.006, 1497.800
1.755, 3.509, 7.997, 7.997, 8.005, 8.006, 1497.200
1.760, 3.519, 7.997, 7.997, 8.005, 8.006, 1496.800
1.765, 3.529, 7.997, 7.997, 8.005, 8.006, 1495.800
1.770, 3.538, 7.997, 7.997, 8.005, 8.006, 1496.500
1.775, 3.548, 7.997, 7.997, 8.005, 8.006, 1494.500
1.780, 3.559, 7.997, 7.997, 8.005, 8.006, 1493.500
1.785, 3.569, 7.997, 7.997, 8.005, 8.006, 1492.800
1.790, 3.578, 7.997, 7.997, 8.005, 8.006, 1491.700
1.795, 3.588, 7.997, 7.997, 8.005, 8.006, 1491.800
1.800, 3.598, 7.997, 7.997, 8.005, 8.006, 1491.100
1.805, 3.609, 7.997, 7.997, 8.005, 8.006, 1490.600
1.810, 3.619, 7.997, 7.997, 8.005, 8.006, 1490.500
1.815, 3.628, 7.997, 7.997, 8.005, 8.006, 1490.000
1.820, 3.639, 7.997, 7.997, 8.005, 8.006, 1490.100
1.825, 3.649, 7.997, 7.997, 8.005, 8.006, 1490.300
1.830, 3.659, 7.997, 7.997, 8.005, 8.006, 1489.900
1.835, 3.668, 7.997, 7.997, 8.005, 8.006, 1488.800
1.840, 3.678, 7.997, 7.997, 8.005, 8.006, 1489.200
1.845, 3.689, 7.997, 7.997, 8.005, 8.006, 1488.900
1.850, 3.699, 7.997, 7.997, 8.005, 8.006, 1487.500
1.855, 3.709, 7.997, 7.997, 8.005, 8.006, 1488.000
1.860, 3.719, 7.997, 7.997, 8.005, 8.006, 1486.700
1.865, 3.729, 7.997, 7.997, 8.005, 8.006, 1487.200
1.870, 3.739, 7.997, 7.997, 8.005, 8.006, 1486.800
