i_src,i_meas,v_up,v_down,v_current,old_up,old_down,old_current
1.570, 1.564, 2780.000, 2739.000, 1601.700, 13.691, 13.482, -1.620
1.580, 1.574, 2779.300, 2739.100, 1601.900, 13.686, 13.482, -1.620
1.590, 1.585, 2779.700, 2740.000, 1601.300, 13.686, 13.489, -1.620
1.600, 1.594, 2779.500, 2739.400, 1600.300, 13.686, 13.482, -1.632
1.610, 1.604, 2779.100, 2740.100, 1600.100, 13.686, 13.489, -1.632
1.620, 1.614, 2779.700, 2739.800, 1598.400, 13.686, 13.482, -1.656
1.630, 1.624, 2779.900, 2740.400, 1597.400, 13.686, 13.489, -1.670
1.640, 1.634, 2780.500, 2740.600, 1596.400, 13.691, 13.489, -1.688
1.650, 1.644, 2781.000, 2739.900, 1595.500, 13.696, 13.482, -1.707
1.660, 1.654, 2780.700, 2740.800, 1595.300, 13.691, 13.489, -1.707
1.670, 1.664, 2780.900, 2740.200, 1595.000, 13.691, 13.489, -1.707
1.680, 1.674, 2781.600, 2741.300, 1594.900, 13.696, 13.493, -1.725
1.690, 1.685, 2781.000, 2741.700, 1594.300, 13.696, 13.493, -1.725
1.700, 1.694, 2783.600, 2744.600, 1593.300, 13.707, 13.507, -1.765
1.710, 1.705, 2783.200, 2745.000, 1593.500, 13.707, 13.512, -1.765
1.720, 1.715, 2783.700, 2745.600, 1593.400, 13.707, 13.512, -1.765
1.730, 1.725, 2785.000, 2747.300, 1592.700, 13.718, 13.521, -1.822
1.740, 1.735, 2784.700, 2747.900, 1592.700, 13.712, 13.521, -1.822
1.750, 1.745, 2784.900, 2749.200, 1592.100, 13.712, 13.530, -1.822
1.760, 1.755, 2785.100, 2749.100, 1591.800, 13.718, 13.530, -1.848
1.770, 1.765, 2786.400, 2750.300, 1591.500, 13.723, 13.534, -1.848
1.780, 1.775, 2786.600, 2750.600, 1591.900, 13.723, 13.534, -1.848
1.790, 1.785, 2786.700, 2752.000, 1591.300, 13.723, 13.544, -1.848
1.800, 1.795, 2787.900, 2751.500, 1590.900, 13.728, 13.539, -1.853
1.810, 1.805, 2785.800, 2752.400, 1591.000, 13.718, 13.544, -1.848
1.820, 1.815, 2788.200, 2751.400, 1590.100, 13.734, 13.539, -1.853
1.830, 1.825, 2788.500, 2752.600, 1590.000, 13.734, 13.544, -1.853
1.840, 1.835, 2787.800, 2753.200, 1589.500, 13.728, 13.549, -1.901
1.850, 1.845, 2789.900, 2752.600, 1589.200, 13.739, 13.544, -1.901
1.860, 1.855, 2790.000, 2753.000, 1589.400, 13.744, 13.549, -1.901
1.870, 1.865, 2790.600, 2753.000, 1588.900, 13.744, 13.549, -1.921
1.880, 1.875, 2790.900, 2753.100, 1588.400, 13.744, 13.549, -1.921
1.890, 1.885, 2791.300, 2753.800, 1587.700, 13.748, 13.549, -1.939
1.900, 1.895, 2791.300, 2754.200, 1587.200, 13.748, 13.554, -1.939
1.910, 1.905, 2793.600, 2755.200, 1588.000, 13.757, 13.558, -1.921
