SRC,MULT,CH1,CH2,VBAT,VPOW
10.170, 10.164, 10.160, 10.174, 8.005, 2054.100
10.180, 10.178, 10.176, 10.185, 8.005, 2055.600
10.190, 10.185, 10.179, 10.187, 8.005, 2057.700
10.200, 10.197, 10.193, 10.202, 8.005, 2062.600
10.210, 10.205, 10.199, 10.212, 8.005, 2063.600
10.220, 10.218, 10.217, 10.229, 8.005, 2066.600
10.230, 10.227, 10.227, 10.233, 8.005, 2067.000
10.240, 10.235, 10.234, 10.238, 8.005, 2068.200
10.250, 10.247, 10.246, 10.253, 8.005, 2070.200
10.260, 10.255, 10.251, 10.257, 8.005, 2071.000
10.270, 10.268, 10.276, 10.269, 8.005, 2074.900
10.280, 10.277, 10.281, 10.280, 8.005, 2078.600
10.290, 10.288, 10.291, 10.292, 8.005, 2079.800
10.300, 10.296, 10.299, 10.298, 8.005, 2080.900
10.310, 10.304, 10.304, 10.302, 8.005, 2082.200
10.320, 10.318, 10.316, 10.311, 8.005, 2084.200
10.330, 10.326, 10.322, 10.322, 8.005, 2087.900
10.340, 10.337, 10.333, 10.334, 8.005, 2091.500
10.350, 10.346, 10.341, 10.344, 8.005, 2092.300
10.360, 10.354, 10.346, 10.349, 8.005, 2093.500
10.370, 10.367, 10.363, 10.364, 8.005, 2095.100
10.380, 10.376, 10.367, 10.371, 8.005, 2096.200
10.390, 10.386, 10.382, 10.386, 8.005, 2097.800
10.400, 10.395, 10.390, 10.393, 8.005, 2101.400
10.410, 10.408, 10.413, 10.408, 8.005, 2105.200
10.420, 10.416, 10.416, 10.418, 8.005, 2105.900
10.430, 10.425, 10.426, 10.430, 8.005, 2107.400
10.440, 10.435, 10.435, 10.438, 8.005, 2109.900
10.450, 10.445, 10.444, 10.452, 8.005, 2112.200
10.460, 10.458, 10.455, 10.464, 8.005, 2115.100
10.470, 10.465, 10.466, 10.478, 8.005, 2116.600
10.480, 10.477, 10.467, 10.487, 8.005, 2118.700
10.490, 10.485, 10.476, 10.490, 8.005, 2119.900
10.500, 10.494, 10.484, 10.505, 8.005, 2120.800
10.510, 10.508, 10.497, 10.517, 8.005, 2122.900
10.520, 10.516, 10.502, 10.526, 8.005, 2124.400
10.530, 10.527, 10.515, 10.537, 8.005, 2129.200
10.540, 10.535, 10.527, 10.546, 8.005, 2131.700
10.550, 10.544, 10.545, 10.558, 8.005, 2132.500
10.560, 10.557, 10.552, 10.564, 8.005, 2133.100
10.570, 10.565, 10.570, 10.574, 8.005, 2135.500
10.580, 10.577, 10.580, 10.581, 8.005, 2139.600
10.590, 10.585, 10.589, 10.591, 8.005, 2141.100
10.600, 10.598, 10.604, 10.607, 8.005, 2143.700
10.610, 10.607, 10.614, 10.614, 8.005, 2145.700
10.620, 10.615, 10.618, 10.622, 8.005, 2146.000
10.630, 10.626, 10.627, 10.633, 8.005, 2147.300
10.640, 10.634, 10.634, 10.641, 8.005, 2149.000
10.650, 10.648, 10.641, 10.652, 8.005, 2153.600
10.660, 10.657, 10.647, 10.659, 8.005, 2155.800
10.670, 10.668, 10.664, 10.667, 8.005, 2157.800
10.680, 10.677, 10.669, 10.680, 8.005, 2158.200
10.690, 10.684, 10.686, 10.686, 8.005, 2159.200
10.700, 10.697, 10.697, 10.699, 8.005, 2162.000
10.710, 10.707, 10.705, 10.713, 8.005, 2163.600
10.720, 10.717, 10.717, 10.722, 8.005, 2168.300
10.730, 10.726, 10.723, 10.729, 8.005, 2169.900
10.740, 10.739, 10.736, 10.747, 8.005, 2171.000
10.750, 10.747, 10.742, 10.754, 8.005, 2172.100
10.760, 10.756, 10.750, 10.761, 8.005, 2174.000
10.770, 10.767, 10.760, 10.773, 8.005, 2176.000
10.780, 10.776, 10.770, 10.782, 8.005, 2181.300
10.790, 10.789, 10.784, 10.794, 8.005, 2182.400
10.800, 10.797, 10.794, 10.798, 8.005, 2183.800
10.810, 10.806, 10.804, 10.809, 8.005, 2184.100
10.820, 10.817, 10.809, 10.819, 8.005, 2186.000
10.830, 10.825, 10.819, 10.825, 8.005, 2187.300
10.840, 10.839, 10.837, 10.844, 8.005, 2194.300
10.850, 10.847, 10.842, 10.851, 8.005, 2194.700
10.860, 10.858, 10.856, 10.862, 8.005, 2196.300
10.870, 10.866, 10.866, 10.862, 8.005, 2197.200
10.880, 10.875, 10.868, 10.875, 8.005, 2198.000
10.890, 10.888, 10.886, 10.888, 8.005, 2200.000
10.900, 10.896, 10.899, 10.896, 8.005, 2202.600
10.910, 10.908, 10.904, 10.906, 8.005, 2207.600
10.920, 10.915, 10.916, 10.922, 8.005, 2208.200
10.930, 10.928, 10.931, 10.931, 8.005, 2210.500
10.940, 10.937, 10.938, 10.940, 8.005, 2212.500
