src,mult,ch1,ch2,vup,vdown
11.100, 11.093, 7.997, 7.997, 11.118, 8.006
11.110, 11.102, 7.997, 7.997, 11.130, 8.006
11.120, 11.115, 7.997, 7.997, 11.142, 8.006
11.130, 11.123, 7.997, 7.997, 11.150, 8.006
11.140, 11.132, 7.997, 7.997, 11.161, 8.006
11.150, 11.143, 7.997, 7.997, 11.173, 8.006
11.160, 11.151, 7.997, 7.997, 11.177, 8.006
11.170, 11.164, 7.997, 7.997, 11.192, 8.006
11.180, 11.172, 7.997, 7.997, 11.203, 8.006
11.190, 11.180, 7.997, 7.997, 11.209, 8.006
11.200, 11.191, 7.997, 7.997, 11.224, 8.006
11.210, 11.200, 7.997, 7.997, 11.228, 8.006
11.220, 11.213, 7.997, 7.997, 11.244, 8.006
11.230, 11.221, 7.997, 7.997, 11.251, 8.006
11.240, 11.233, 7.997, 7.997, 11.261, 8.006
11.250, 11.241, 7.997, 7.997, 11.272, 8.006
11.260, 11.249, 7.997, 7.997, 11.276, 8.006
11.270, 11.263, 7.997, 7.997, 11.289, 8.006
11.280, 11.271, 7.997, 7.997, 11.299, 8.006
11.290, 11.282, 7.997, 7.997, 11.313, 8.006
11.300, 11.290, 7.997, 7.997, 11.318, 8.006
11.310, 11.304, 7.997, 7.997, 11.330, 8.006
11.320, 11.313, 7.997, 7.997, 11.337, 8.006
11.330, 11.320, 7.997, 7.997, 11.346, 8.006
11.340, 11.332, 7.997, 7.997, 11.359, 8.006
11.350, 11.332, 7.997, 7.997, 11.366, 8.006
11.360, 11.353, 7.997, 7.997, 11.382, 8.006
11.370, 11.362, 7.997, 7.997, 11.393, 8.006
11.380, 11.373, 7.997, 7.997, 11.403, 8.006
11.390, 11.382, 7.997, 7.997, 11.411, 8.006
11.400, 11.389, 7.997, 7.997, 11.420, 8.006
11.410, 11.403, 7.997, 7.997, 11.428, 8.006
11.420, 11.412, 7.997, 7.997, 11.440, 8.006
11.430, 11.422, 7.997, 7.997, 11.459, 8.006
11.440, 11.431, 7.997, 7.997, 11.463, 8.006
11.450, 11.439, 7.997, 7.997, 11.465, 8.006
11.460, 11.439, 7.997, 7.997, 11.465, 8.006
11.470, 11.461, 7.997, 7.997, 11.491, 8.006
11.480, 11.471, 7.997, 7.997, 11.500, 8.006
11.490, 11.480, 7.997, 7.997, 11.515, 8.006
11.500, 11.494, 7.997, 7.997, 11.520, 8.006
11.510, 11.502, 7.997, 7.997, 11.529, 8.006
11.520, 11.510, 7.997, 7.997, 11.541, 8.006
11.530, 11.521, 7.997, 7.997, 11.550, 8.006
11.540, 11.530, 7.997, 7.997, 11.559, 8.006
11.550, 11.543, 7.997, 7.997, 11.574, 8.006
11.560, 11.551, 7.997, 7.997, 11.584, 8.006
11.570, 11.563, 7.997, 7.997, 11.598, 8.006
