i_src,i_meas,v_up,v_down,v_current
2.540, -2.532, 2826.500, 2789.100, 1560.700
2.550, -2.542, 2827.000, 2789.600, 1559.000
2.560, -2.552, 2827.700, 2788.800, 1558.600
2.570, -2.562, 2827.100, 2787.800, 1559.100
2.580, -2.571, 2827.900, 2788.200, 1556.800
2.590, -2.582, 2826.900, 2788.300, 1556.700
2.600, -2.592, 2827.500, 2789.000, 1556.400
2.610, -2.602, 2827.900, 2788.700, 1556.300
2.620, -2.612, 2826.900, 2788.600, 1555.400
2.630, -2.622, 2827.900, 2789.000, 1560.000
2.640, -2.632, 2828.100, 2788.500, 1555.500
2.650, -2.641, 2829.500, 2790.800, 1552.600
2.660, -2.651, 2828.600, 2790.200, 1554.100
2.670, -2.662, 2828.800, 2790.400, 1553.200
2.680, -2.671, 2829.000, 2790.100, 1554.000
2.690, -2.682, 2830.200, 2789.800, 1553.300
2.700, -2.691, 2830.800, 2790.300, 1553.200
2.710, -2.701, 2829.500, 2790.700, 1554.400
2.720, -2.712, 2828.600, 2790.800, 1552.900
2.730, -2.721, 2829.100, 2790.700, 1551.500
2.740, -2.732, 2829.000, 2790.800, 1552.600
2.750, -2.741, 2829.900, 2791.200, 1551.000
2.760, -2.751, 2830.400, 2792.100, 1551.400
2.770, -2.762, 2830.400, 2792.100, 1550.400
2.780, -2.772, 2830.200, 2790.700, 1550.000
2.790, -2.782, 2830.000, 2791.400, 1547.100
2.800, -2.792, 2830.600, 2791.000, 1549.400
2.810, -2.802, 2830.300, 2791.500, 1547.900
2.820, -2.802, 2830.300, 2791.500, 1550.600
2.830, -2.822, 2830.800, 2792.100, 1544.800
2.840, -2.832, 2831.800, 2792.600, 1545.400
2.850, -2.842, 2830.900, 2792.000, 1544.800
2.860, -2.852, 2831.100, 2792.900, 1543.800
2.870, -2.862, 2830.700, 2791.500, 1544.800
2.880, -2.872, 2829.900, 2791.100, 1543.900
2.890, -2.882, 2831.400, 2791.500, 1543.000
2.900, -2.892, 2830.600, 2791.000, 1542.400
2.910, -2.902, 2830.700, 2791.200, 1542.100
2.920, -2.912, 2830.200, 2790.500, 1541.900
2.930, -2.922, 2830.000, 2790.300, 1541.700
2.940, -2.932, 2829.100, 2791.000, 1541.400
2.950, -2.942, 2829.200, 2791.400, 1540.600
2.960, -2.952, 2829.500, 2791.100, 1540.200
2.970, -2.962, 2829.900, 2790.500, 1539.900
2.980, -2.972, 2829.400, 2790.200, 1540.000
2.990, -2.982, 2830.300, 2791.000, 1539.800
