i_src,i_meas,v_up,v_down,v_current,old_up,old_down,old_current
1.680, -1.673, 2717.300, 2681.100, 1753.400, 13.383, 13.214, 1.649
1.690, -1.684, 2717.900, 2682.000, 1753.700, 13.383, 13.218, 1.649
1.700, -1.694, 2717.300, 2682.000, 1754.500, 13.383, 13.218, 1.672
1.710, -1.704, 2717.100, 2681.100, 1754.900, 13.383, 13.214, 1.672
1.720, -1.714, 2716.700, 2681.900, 1755.500, 13.378, 13.214, 1.682
1.730, -1.724, 2716.800, 2680.600, 1755.000, 13.378, 13.210, 1.682
1.740, -1.734, 2716.700, 2680.200, 1756.000, 13.378, 13.210, 1.722
1.750, -1.744, 2716.400, 2679.900, 1756.100, 13.378, 13.203, 1.722
1.760, -1.754, 2716.500, 2680.100, 1756.500, 13.378, 13.210, 1.722
1.770, -1.764, 2715.300, 2679.300, 1757.000, 13.374, 13.203, 1.758
1.780, -1.774, 2715.300, 2679.600, 1757.000, 13.374, 13.203, 1.758
1.790, -1.784, 2715.200, 2679.800, 1756.900, 13.374, 13.203, 1.722
1.800, -1.794, 2715.800, 2679.000, 1757.600, 13.374, 13.203, 1.758
1.810, -1.804, 2715.000, 2679.000, 1757.400, 13.374, 13.203, 1.758
1.820, -1.814, 2715.100, 2679.100, 1758.400, 13.374, 13.203, 1.789
1.830, -1.824, 2714.600, 2678.700, 1758.500, 13.369, 13.196, 1.789
1.840, -1.834, 2714.800, 2678.200, 1759.100, 13.369, 13.196, 1.807
1.850, -1.844, 2714.500, 2677.900, 1759.000, 13.369, 13.188, 1.807
1.860, -1.854, 2714.300, 2678.000, 1760.200, 13.369, 13.196, 1.832
1.870, -1.864, 2713.800, 2677.700, 1759.900, 13.364, 13.188, 1.807
1.880, -1.874, 2713.800, 2677.000, 1760.300, 13.364, 13.188, 1.832
1.890, -1.884, 2712.900, 2677.900, 1760.600, 13.359, 13.188, 1.832
1.900, -1.894, 2713.400, 2677.100, 1761.000, 13.364, 13.188, 1.870
1.910, -1.904, 2713.100, 2677.000, 1761.400, 13.364, 13.188, 1.870
1.920, -1.914, 2713.400, 2676.800, 1761.300, 13.364, 13.181, 1.870
1.930, -1.924, 2712.500, 2676.600, 1761.800, 13.359, 13.181, 1.870
1.940, -1.934, 2712.700, 2676.600, 1763.800, 13.359, 13.181, 1.927
1.950, -1.944, 2712.700, 2676.200, 1763.100, 13.359, 13.181, 1.927
1.960, -1.954, 2712.100, 2676.500, 1762.900, 13.359, 13.181, 1.910
1.970, -1.964, 2711.700, 2675.800, 1763.200, 13.354, 13.174, 1.927
1.980, -1.974, 2712.100, 2675.900, 1766.300, 13.359, 13.174, 1.949
1.990, -1.985, 2711.700, 2676.000, 1765.900, 13.354, 13.181, 1.947
2.000, -1.995, 2711.400, 2676.000, 1768.200, 13.354, 13.181, 1.967
2.010, -2.005, 2711.500, 2675.600, 1768.700, 13.354, 13.174, 1.967
2.020, -2.014, 2711.700, 2675.800, 1769.100, 13.354, 13.174, 2.003
2.030, -2.024, 2709.700, 2674.900, 1768.400, 13.344, 13.167, 1.967
2.040, -2.035, 2709.500, 2674.800, 1769.100, 13.344, 13.167, 2.003
2.050, -2.045, 2708.100, 2675.200, 1769.400, 13.338, 13.174, 2.003
2.060, -2.055, 2708.800, 2674.700, 1770.000, 13.338, 13.167, 2.033
2.070, -2.064, 2708.300, 2674.800, 1770.200, 13.338, 13.167, 2.033
2.080, -2.074, 2707.600, 2674.300, 1770.400, 13.332, 13.167, 2.033
2.090, -2.085, 2707.900, 2674.300, 1770.500, 13.332, 13.167, 2.033
2.100, -2.095, 2707.400, 2674.100, 1771.100, 13.332, 13.167, 2.066
2.110, -2.104, 2706.700, 2674.000, 1771.100, 13.326, 13.167, 2.066
2.120, -2.113, 2706.700, 2674.200, 1771.400, 13.326, 13.167, 2.066
2.130, -2.124, 2706.500, 2673.600, 1771.800, 13.326, 13.160, 2.066
2.140, -2.134, 2706.000, 2673.600, 1772.300, 13.326, 13.160, 2.093
2.150, -2.144, 2706.000, 2673.700, 1772.300, 13.326, 13.160, 2.093
2.160, -2.144, 2706.100, 2673.900, 1773.200, 13.326, 13.160, 2.125
2.170, -2.163, 2705.400, 2673.100, 1773.100, 13.321, 13.160, 2.125
2.180, -2.174, 2705.600, 2673.300, 1773.100, 13.321, 13.160, 2.125
2.190, -2.184, 2706.000, 2673.100, 1773.600, 13.326, 13.160, 2.125
2.200, -2.194, 2705.600, 2672.100, 1774.200, 13.321, 13.153, 2.146
2.210, -2.204, 2704.600, 2672.200, 1774.200, 13.315, 13.153, 2.146
2.220, -2.213, 2705.300, 2670.900, 1774.900, 13.321, 13.139, 2.146
2.230, -2.223, 2704.800, 2671.400, 1775.700, 13.315, 13.146, 2.157
2.240, -2.234, 2704.700, 2670.400, 1776.000, 13.315, 13.139, 2.187
2.250, -2.244, 2704.700, 2669.800, 1776.300, 13.315, 13.134, 2.187
2.260, -2.254, 2704.200, 2670.000, 1777.700, 13.315, 13.139, 2.188
2.270, -2.264, 2703.500, 2669.000, 1778.300, 13.309, 13.134, 2.201
2.280, -2.274, 2703.900, 2669.600, 1778.100, 13.309, 13.134, 2.201
2.290, -2.284, 2703.400, 2669.000, 1780.400, 13.309, 13.134, 2.246
2.300, -2.294, 2703.900, 2667.800, 1780.500, 13.309, 13.126, 2.246
2.310, -2.304, 2703.000, 2667.600, 1781.000, 13.309, 13.126, 2.251
2.320, -2.314, 2703.100, 2668.000, 1780.600, 13.309, 13.130, 2.246
2.330, -2.324, 2701.700, 2666.500, 1782.800, 13.297, 13.122, 2.312
2.340, -2.334, 2702.300, 2666.100, 1782.100, 13.303, 13.122, 2.312
2.350, -2.344, 2701.700, 2666.000, 1782.800, 13.297, 13.122, 2.312
2.360, -2.354, 2701.300, 2665.000, 1783.200, 13.297, 13.118, 2.278
2.370, -2.364, 2700.300, 2665.200, 1783.000, 13.292, 13.118, 2.278
2.380, -2.374, 2700.600, 2665.400, 1783.400, 13.292, 13.118, 2.278
2.390, -2.384, 2700.300, 2664.600, 1784.400, 13.292, 13.113, 2.330
2.400, -2.394, 2699.400, 2664.600, 1784.200, 13.288, 13.113, 2.330
2.410, -2.404, 2696.800, 2663.800, 1785.100, 13.279, 13.109, 2.357
2.420, -2.414, 2698.700, 2663.700, 1784.800, 13.285, 13.109, 2.330
2.430, -2.424, 2697.300, 2664.200, 1785.400, 13.282, 13.113, 2.357
2.440, -2.434, 2698.600, 2663.600, 1785.400, 13.285, 13.109, 2.357
2.450, -2.444, 2696.500, 2662.800, 1786.200, 13.279, 13.105, 2.408
2.460, -2.454, 2697.600, 2662.400, 1786.100, 13.282, 13.105, 2.408
2.470, -2.464, 2697.000, 2661.600, 1786.600, 13.282, 13.101, 2.408
2.480, -2.474, 2695.400, 2662.600, 1787.300, 13.275, 13.105, 2.455
2.490, -2.484, 2697.400, 2662.100, 1787.200, 13.282, 13.105, 2.455
2.500, -2.494, 2694.900, 2662.300, 1788.400, 13.272, 13.105, 2.466
2.510, -2.504, 2694.800, 2661.700, 1788.100, 13.272, 13.101, 2.466
2.520, -2.515, 2695.200, 2662.100, 1788.600, 13.275, 13.105, 2.466
2.530, -2.524, 2694.200, 2661.800, 1790.100, 13.272, 13.101, 2.499
2.540, -2.535, 2694.600, 2661.700, 1789.600, 13.272, 13.101, 2.487
2.550, -2.544, 2693.600, 2661.900, 1790.400, 13.269, 13.101, 2.499
2.560, -2.555, 2694.100, 2661.000, 1791.700, 13.272, 13.101, 2.514
2.570, -2.565, 2694.000, 2661.200, 1792.800, 13.272, 13.101, 2.534
2.580, -2.574, 2693.500, 2661.200, 1791.500, 13.269, 13.101, 2.514
2.590, -2.585, 2693.400, 2661.000, 1793.900, 13.269, 13.101, 2.548
2.600, -2.594, 2693.200, 2660.800, 1794.900, 13.269, 13.096, 2.558
2.610, -2.605, 2693.000, 2661.000, 1795.000, 13.269, 13.101, 2.575
2.620, -2.615, 2693.100, 2660.800, 1795.200, 13.269, 13.096, 2.575
2.630, -2.624, 2693.100, 2660.400, 1795.600, 13.269, 13.096, 2.575
2.640, -2.634, 2692.400, 2660.600, 1796.100, 13.266, 13.096, 2.610
2.650, -2.644, 2692.500, 2660.500, 1796.500, 13.266, 13.096, 2.610
2.660, -2.654, 2691.700, 2660.400, 1796.100, 13.263, 13.096, 2.610
2.670, -2.664, 2691.500, 2660.000, 1796.600, 13.263, 13.096, 2.610
2.680, -2.674, 2691.000, 2660.100, 1796.900, 13.263, 13.096, 2.610
2.690, -2.684, 2690.800, 2659.400, 1797.900, 13.259, 13.092, 2.645
2.700, -2.694, 2690.700, 2659.700, 1797.800, 13.259, 13.092, 2.645
2.710, -2.704, 2690.500, 2659.500, 1798.000, 13.259, 13.092, 2.675
2.720, -2.715, 2690.100, 2659.100, 1798.600, 13.259, 13.092, 2.675
2.730, -2.724, 2690.000, 2658.900, 1798.800, 13.259, 13.088, 2.675
2.740, -2.734, 2690.000, 2659.000, 1799.000, 13.259, 13.092, 2.699
2.750, -2.744, 2688.400, 2658.700, 1799.800, 13.251, 13.088, 2.699
2.760, -2.754, 2685.900, 2655.200, 1800.400, 13.239, 13.076, 2.729
2.770, -2.765, 2682.700, 2651.900, 1800.100, 13.227, 13.059, 2.729
2.780, -2.774, 2679.900, 2649.300, 1801.700, 13.213, 13.049, 2.765
2.790, -2.785, 2674.700, 2641.400, 1800.900, 13.180, 13.005, 2.729
2.800, -2.795, 2678.200, 2647.100, 1800.700, 13.206, 13.038, 2.729
2.810, -2.805, 2678.700, 2648.100, 1802.900, 13.206, 13.044, 2.774
2.820, -2.815, 2679.700, 2648.700, 1802.700, 13.213, 13.044, 2.774
2.830, -2.825, 2680.000, 2649.000, 1803.500, 13.220, 13.049, 2.779
2.840, -2.835, 2680.100, 2649.000, 1805.000, 13.220, 13.049, 2.813
2.850, -2.845, 2679.500, 2648.900, 1806.000, 13.213, 13.044, 2.817
2.860, -2.855, 2680.300, 2649.400, 1807.000, 13.220, 13.049, 2.822
2.870, -2.865, 2679.100, 2648.900, 1807.200, 13.213, 13.044, 2.822
2.880, -2.875, 2679.600, 2649.200, 1807.200, 13.213, 13.049, 2.822
2.890, -2.885, 2686.600, 2656.000, 1807.200, 13.243, 13.080, 2.822
2.900, -2.895, 2685.900, 2654.700, 1808.600, 13.239, 13.071, 2.868
2.910, -2.905, 2680.800, 2650.400, 1808.300, 13.220, 13.055, 2.868
2.920, -2.915, 2680.100, 2649.400, 1808.500, 13.220, 13.049, 2.868
2.930, -2.925, 2680.600, 2649.900, 1808.700, 13.220, 13.049, 2.868
2.940, -2.935, 2680.600, 2648.900, 1808.900, 13.220, 13.044, 2.868
2.950, -2.945, 2679.700, 2649.100, 1809.100, 13.213, 13.049, 2.902
2.960, -2.955, 2679.800, 2648.600, 1809.000, 13.213, 13.044, 2.902
2.970, -2.965, 2680.000, 2648.300, 1809.400, 13.220, 13.044, 2.902
2.980, -2.975, 2679.300, 2649.100, 1810.100, 13.213, 13.049, 2.948
2.990, -2.985, 2679.200, 2648.000, 1810.200, 13.213, 13.044, 2.948
