SRC,MULT,VBAT,VPOW
10.820, 10.801, 2186.000, 2187.100
10.830, 10.821, 2188.100, 2192.500
10.840, 10.834, 2193.800, 2195.300
10.850, 10.842, 2195.200, 2196.300
10.860, 10.854, 2196.700, 2197.600
10.870, 10.862, 2197.800, 2200.000
10.880, 10.870, 2199.700, 2202.600
10.890, 10.884, 2202.700, 2206.300
10.900, 10.891, 2206.100, 2207.600
10.910, 10.903, 2208.000, 2208.800
10.920, 10.911, 2209.500, 2210.400
10.930, 10.924, 2210.800, 2214.600
10.940, 10.933, 2211.900, 2216.100
10.950, 10.940, 2213.600, 2217.500
10.960, 10.952, 2215.200, 2219.600
10.970, 10.960, 2219.400, 2221.400
10.980, 10.974, 2222.400, 2222.800
10.990, 10.982, 2223.300, 2223.800
11.000, 10.990, 2223.500, 2225.800
11.010, 11.002, 2225.400, 2230.200
11.020, 11.010, 2228.700, 2231.900
11.030, 11.023, 2232.300, 2233.800
11.040, 11.032, 2233.800, 2235.700
11.050, 11.043, 2236.100, 2236.200
11.060, 11.052, 2236.800, 2237.600
11.070, 11.059, 2238.200, 2241.000
11.080, 11.073, 2240.500, 2245.200
11.090, 11.082, 2243.300, 2246.900
11.100, 11.092, 2246.100, 2248.300
11.110, 11.101, 2248.000, 2248.900
11.120, 11.115, 2249.100, 2251.700
11.130, 11.122, 2250.400, 2255.400
11.140, 11.131, 2252.200, 2257.300
11.150, 11.142, 2256.900, 2258.800
11.160, 11.151, 2258.700, 2260.700
11.170, 11.163, 2261.300, 2261.900
11.180, 11.171, 2261.700, 2262.800
11.190, 11.180, 2263.300, 2264.400
11.200, 11.190, 2264.300, 2266.000
11.210, 11.199, 2266.000, 2267.600
11.220, 11.212, 2270.700, 2271.300
11.230, 11.220, 2272.300, 2273.100
11.240, 11.232, 2274.500, 2275.500
11.250, 11.240, 2275.500, 2277.400
11.260, 11.249, 2276.500, 2280.900
11.270, 11.262, 2281.200, 2284.500
11.280, 11.270, 2283.400, 2285.300
11.290, 11.282, 2285.700, 2287.000
11.300, 11.289, 2286.700, 2287.400
11.310, 11.303, 2288.700, 2291.300
11.320, 11.312, 2290.100, 2293.300
11.330, 11.320, 2291.900, 2296.400
11.340, 11.332, 2296.100, 2298.500
11.350, 11.340, 2297.300, 2299.300
11.360, 11.353, 2299.700, 2300.000
11.370, 11.362, 2300.500, 2303.100
11.380, 11.373, 2302.300, 2306.200
11.390, 11.381, 2303.600, 2309.100
11.400, 11.389, 2307.200, 2310.700
11.410, 11.402, 2310.900, 2312.400
11.420, 11.411, 2312.100, 2314.000
11.430, 11.422, 2313.100, 2317.400
11.440, 11.430, 2315.300, 2318.700
11.450, 11.438, 2315.500, 2319.700
11.460, 11.451, 2318.500, 2323.100
11.470, 11.460, 2321.500, 2324.100
11.480, 11.471, 2324.400, 2325.900
11.490, 11.479, 2325.900, 2326.000
11.500, 11.493, 2327.500, 2329.400
11.510, 11.501, 2328.000, 2332.800
11.520, 11.509, 2330.500, 2334.800
11.530, 11.520, 2335.000, 2336.900
11.540, 11.529, 2335.900, 2338.200
11.550, 11.542, 2338.900, 2339.500
11.560, 11.550, 2340.600, 2339.900
11.570, 11.563, 2341.600, 2345.700
11.580, 11.570, 2342.700, 2346.300
11.590, 11.579, 2345.700, 2349.000
11.600, 11.579, 2345.600, 2349.200
11.610, 11.600, 2350.300, 2351.900
11.620, 11.612, 2352.300, 2353.500
11.630, 11.620, 2353.000, 2356.200
11.640, 11.629, 2354.600, 2359.200
11.650, 11.642, 2360.000, 2361.700
11.660, 11.650, 2360.800, 2363.300
11.670, 11.662, 2363.500, 2364.700
11.680, 11.669, 2364.800, 2365.500
11.690, 11.683, 2365.800, 2368.000
11.700, 11.693, 2367.800, 2368.700
11.710, 11.700, 2368.600, 2371.400
11.720, 11.712, 2372.700, 2375.200
11.730, 11.720, 2375.400, 2377.100
11.740, 11.733, 2377.400, 2378.600
11.750, 11.742, 2378.500, 2380.800
11.760, 11.752, 2379.300, 2384.600
11.770, 11.762, 2383.500, 2386.600
11.780, 11.769, 2385.600, 2388.400
11.790, 11.782, 2388.600, 2389.800
11.800, 11.791, 2389.800, 2390.600
11.810, 11.802, 2391.300, 2392.200
11.820, 11.811, 2392.400, 2396.500
11.830, 11.818, 2394.700, 2398.100
11.840, 11.833, 2397.300, 2401.400
11.850, 11.841, 2400.000, 2402.700
11.860, 11.852, 2402.400, 2403.100
11.870, 11.861, 2403.300, 2404.600
11.880, 11.874, 2405.200, 2408.500
11.890, 11.882, 2406.300, 2411.400
