src,mult,ch1,ch2,vup,vdown
11.130, 11.113, 11.114, 10.755, 11.138, 10.810
11.140, 11.130, 11.129, 10.773, 11.154, 10.828
11.150, 11.141, 11.146, 10.783, 11.165, 10.839
11.160, 11.149, 11.154, 10.793, 11.177, 10.847
11.170, 11.162, 11.167, 10.804, 11.185, 10.855
11.180, 11.170, 11.171, 10.812, 11.196, 10.866
11.190, 11.178, 11.182, 10.821, 11.209, 10.878
11.200, 11.189, 11.190, 10.830, 11.214, 10.888
11.210, 11.198, 11.198, 10.835, 11.226, 10.896
11.220, 11.211, 11.206, 10.854, 11.241, 10.903
11.230, 11.219, 11.214, 10.862, 11.249, 10.911
11.240, 11.231, 11.224, 10.872, 11.257, 10.921
11.250, 11.239, 11.234, 10.877, 11.273, 10.940
11.260, 11.247, 11.242, 10.884, 11.274, 10.942
11.270, 11.261, 11.259, 10.894, 11.283, 10.958
11.280, 11.269, 11.270, 10.901, 11.296, 10.965
11.290, 11.280, 11.288, 10.916, 11.306, 10.975
11.300, 11.288, 11.292, 10.924, 11.316, 10.985
11.310, 11.302, 11.310, 10.939, 11.327, 10.996
11.320, 11.311, 11.318, 10.951, 11.332, 11.008
11.330, 11.318, 11.325, 10.957, 11.345, 11.017
11.340, 11.330, 11.340, 10.967, 11.353, 11.027
11.350, 11.338, 11.344, 10.974, 11.365, 11.031
11.360, 11.351, 11.359, 10.989, 11.375, 11.047
11.370, 11.360, 11.364, 11.003, 11.392, 11.051
11.380, 11.371, 11.370, 11.012, 11.401, 11.069
11.390, 11.380, 11.376, 11.021, 11.407, 11.073
11.400, 11.387, 11.383, 11.027, 11.413, 11.083
11.410, 11.401, 11.398, 11.039, 11.428, 11.096
11.420, 11.410, 11.407, 11.048, 11.440, 11.105
11.430, 11.420, 11.414, 11.054, 11.444, 11.121
11.440, 11.429, 11.423, 11.067, 11.460, 11.127
11.450, 11.437, 11.431, 11.078, 11.464, 11.135
11.460, 11.450, 11.440, 11.091, 11.479, 11.150
11.470, 11.459, 11.452, 11.101, 11.491, 11.162
11.480, 11.470, 11.460, 11.111, 11.496, 11.171
11.490, 11.478, 11.468, 11.119, 11.500, 11.174
11.500, 11.492, 11.485, 11.132, 11.518, 11.194
11.510, 11.500, 11.495, 11.138, 11.525, 11.201
11.520, 11.508, 11.506, 11.149, 11.532, 11.202
11.530, 11.519, 11.510, 11.158, 11.546, 11.218
11.540, 11.528, 11.528, 11.168, 11.557, 11.232
11.550, 11.541, 11.542, 11.184, 11.566, 11.237
11.560, 11.549, 11.549, 11.194, 11.571, 11.244
11.570, 11.561, 11.562, 11.203, 11.594, 11.257
11.580, 11.569, 11.572, 11.209, 11.597, 11.266
11.590, 11.578, 11.582, 11.217, 11.601, 11.276
11.600, 11.591, 11.599, 11.232, 11.616, 11.289
11.610, 11.599, 11.606, 11.240, 11.622, 11.290
11.620, 11.611, 11.623, 11.249, 11.634, 11.309
11.630, 11.618, 11.626, 11.260, 11.643, 11.310
11.640, 11.628, 11.644, 11.268, 11.651, 11.323
11.650, 11.641, 11.652, 11.285, 11.667, 11.337
11.660, 11.648, 11.662, 11.293, 11.677, 11.343
11.670, 11.660, 11.673, 11.308, 11.683, 11.361
11.680, 11.668, 11.679, 11.313, 11.702, 11.364
11.690, 11.681, 11.688, 11.330, 11.705, 11.377
11.700, 11.691, 11.697, 11.344, 11.716, 11.385
11.710, 11.699, 11.702, 11.349, 11.725, 11.399
11.720, 11.711, 11.715, 11.358, 11.731, 11.412
11.730, 11.718, 11.720, 11.366, 11.744, 11.417
11.740, 11.732, 11.734, 11.380, 11.754, 11.421
11.750, 11.740, 11.740, 11.389, 11.770, 11.438
11.760, 11.751, 11.750, 11.397, 11.778, 11.438
11.770, 11.760, 11.757, 11.405, 11.787, 11.460
11.780, 11.768, 11.765, 11.417, 11.794, 11.465
11.790, 11.781, 11.775, 11.430, 11.806, 11.475
11.800, 11.790, 11.786, 11.436, 11.822, 11.484
11.810, 11.801, 11.799, 11.446, 11.829, 11.498
11.820, 11.810, 11.809, 11.456, 11.837, 11.506
11.830, 11.817, 11.813, 11.462, 11.844, 11.517
11.840, 11.831, 11.831, 11.477, 11.860, 11.531
11.850, 11.840, 11.841, 11.486, 11.864, 11.542
11.860, 11.851, 11.856, 11.496, 11.877, 11.547
11.870, 11.860, 11.864, 11.505, 11.885, 11.558
11.880, 11.873, 11.880, 11.517, 11.900, 11.569
11.890, 11.881, 11.889, 11.527, 11.905, 11.576
11.900, 11.890, 11.896, 11.532, 11.913, 11.588
11.910, 11.901, 11.907, 11.541, 11.930, 11.597
11.920, 11.909, 11.923, 11.553, 11.937, 11.602
11.930, 11.923, 11.935, 11.566, 11.950, 11.620
11.940, 11.930, 11.946, 11.575, 11.966, 11.626
11.950, 11.942, 11.963, 11.586, 11.974, 11.644
11.960, 11.950, 11.968, 11.593, 11.978, 11.648
11.970, 11.958, 11.978, 11.600, 11.988, 11.657
11.980, 11.971, 11.993, 11.615, 12.001, 11.667
11.990, 11.979, 12.001, 11.624, 12.007, 11.674
12.000, 11.991, 12.006, 11.636, 12.013, 11.688
12.010, 11.999, 12.016, 11.647, 12.034, 11.692
12.020, 12.012, 12.022, 11.663, 12.042, 11.705
